ind,          x,        y,    value
 379,         66,    4.375,  5.67505
380,       66.5,    4.375,  5.10878
381,         67,    4.375,  4.56249
382,       67.5,    4.375,  4.05642
383,         68,    4.375,  3.60007
384,       68.5,    4.375,  3.19562
385,         69,    4.375,  2.84098
386,       69.5,    4.375,   2.5319
387,         70,    4.375,  2.26329
388,       70.5,    4.375,  2.02998
389,         71,    4.375,  1.82714
390,       71.5,    4.375,  1.65044
391,         64,  4.41406,  7.54319
392,       64.5,  4.41406,  7.32729
393,         65,  4.41406,  6.93055
394,       65.5,  4.41406,  6.40995
395,         66,  4.41406,  5.82641
396,       66.5,  4.41406,  5.23112
397,         67,  4.41406,  4.65981
398,       67.5,  4.41406,  4.13317
399,         68,  4.41406,  3.66039
400,       68.5,  4.41406,  3.24306
401,         69,  4.41406,  2.87841
402,       69.5,  4.41406,  2.56159
403,         70,  4.41406,  2.28698
404,       70.5,  4.41406,  2.04902
405,         71,  4.41406,  1.84255
406,       71.5,  4.41406,  1.66301
407,         64,  4.45313,  7.79439
408,       64.5,  4.45313,  7.56409
409,         65,  4.45313,  7.14203
410,       65.5,  4.45313,  6.59044
411,         66,  4.45313,  5.97515
412,       66.5,  4.45313,  5.35071
413,         67,  4.45313,  4.75446
414,       67.5,  4.45313,  4.20747
415,         68,  4.45313,  3.71854
416,       68.5,  4.45313,  3.28862
417,         69,  4.45313,  2.91425
418,       69.5,  4.45313,  2.58994
419,         70,  4.45313,  2.30955
420,       70.5,  4.45313,  2.06711
421,         71,  4.45313,  1.85717
422,       71.5,  4.45313,  1.67491
423,         64,  4.49219,   8.0431
424,       64.5,  4.49219,   7.7981
425,         65,  4.49219,   7.3503
426,       65.5,  4.49219,  6.76738
427,         66,  4.49219,  6.12023
428,       66.5,  4.49219,  5.46675
429,         67,  4.49219,  4.84587
430,       67.5,  4.49219,   4.2789
431,         68,  4.49219,  3.77422
432,       68.5,  4.49219,   3.3321
433,         69,  4.49219,  2.94834
434,       69.5,  4.49219,  2.61682
435,         70,  4.49219,  2.33091
436,       70.5,  4.49219,  2.08421
437,         71,  4.49219,  1.87096
438,       71.5,  4.49219,  1.68611
439,         64,  4.53125,   8.2872
440,       64.5,  4.53125,  8.02734
441,         65,  4.53125,  7.55362
442,       65.5,  4.53125,  6.93936
443,         66,  4.53125,  6.26054
444,       66.5,  4.53125,  5.57843
445,         67,  4.53125,  4.93342
446,       67.5,  4.53125,  4.34701
447,         68,  4.53125,  3.82712
448,       68.5,  4.53125,  3.37326
449,         69,  4.53125,  2.98052
450,       69.5,  4.53125,  2.64214
451,         70,  4.53125,  2.35097
452,       70.5,  4.53125,  2.10024
453,         71,  4.53125,  1.88386
454,       71.5,  4.53125,  1.69659
455,         64,  4.57031,  8.52434
456,       64.5,  4.57031,  8.24964
457,         65,  4.57031,  7.75014
458,       65.5,  4.57031,  7.10487
459,         66,  4.57031,  6.39494
460,       66.5,  4.57031,  5.68489
461,         67,  4.57031,   5.0165
462,       67.5,  4.57031,  4.41139
463,         68,  4.57031,  3.87693
464,       68.5,  4.57031,  3.41189
465,         69,  4.57031,  3.01064
466,       69.5,  4.57031,  2.66579
467,         70,  4.57031,  2.36968
468,       70.5,  4.57031,  2.11515
469,         71,  4.57031,  1.89585
470,       71.5,  4.57031,  1.70631
471,         64,  4.60938,  8.75202
472,       64.5,  4.60938,   8.4627
473,         65,  4.60938,  7.93789
474,       65.5,  4.60938,  7.26233
475,         66,  4.60938,  6.52223
476,       66.5,  4.60938,  5.78526
477,         67,  4.60938,  5.09449
478,       67.5,  4.60938,  4.47159
479,         68,  4.60938,  3.92335
480,       68.5,  4.60938,  3.44779
481,         69,  4.60938,  3.03856
482,       69.5,  4.60938,  2.68765
483,         70,  4.60938,  2.38694
484,       70.5,  4.60938,  2.12889
485,         71,  4.60938,  1.90688
486,       71.5,  4.60938,  1.71524
487,         64,  4.64844,  8.96758
488,       64.5,  4.64844,  8.66408
489,         65,  4.64844,  8.11481
490,       65.5,  4.64844,  7.41014
491,         66,  4.64844,   6.6412
492,       66.5,  4.64844,  5.87867
493,         67,  4.64844,  5.16678
494,       67.5,  4.64844,  4.52719
495,         68,  4.64844,  3.96609
496,       68.5,  4.64844,  3.48075
497,         69,  4.64844,  3.06413
498,       69.5,  4.64844,  2.70764
499,         70,  4.64844,  2.40269
500,       70.5,  4.64844,  2.14141
501,         71,  4.64844,  1.91692
502,       71.5,  4.64844,  1.72336
503,         64,   4.6875,  9.16831
504,       64.5,   4.6875,  8.85131
505,         65,   4.6875,  8.27882
506,       65.5,   4.6875,  7.54667
507,         66,   4.6875,  6.75065
508,       66.5,   4.6875,  5.96427
509,         67,   4.6875,  5.23279
510,       67.5,   4.6875,  4.57778
511,         68,   4.6875,  4.00486
512,       68.5,   4.6875,  3.51059
513,         69,   4.6875,  3.08723
514,       69.5,   4.6875,  2.72566
515,         70,   4.6875,  2.41687
516,       70.5,   4.6875,  2.15267
517,         71,   4.6875,  1.92594
518,       71.5,   4.6875,  1.73064
